run_num,x_pos,y_pos,pmt,HV
1003,0,0,544,1100
1004,-10,0,544,1100
1005,-20,0,544,1100
1006,-30,0,544,1100
1007,-40,0,544,1100
1008,-50,0,544,1100
1009,-60,0,544,1100
1010,-70,0,544,1100
1011,-80,0,544,1100
1012,-90,0,544,1100
1013,-100,0,544,1100
1014,-110,0,544,1100
1015,-120,0,544,1100
1016,-130,0,544,1100
1017,-140,0,544,1100
1018,-150,0,544,1100
1019,-160,0,544,1100
1020,-170,0,544,1100
1021,-180,0,544,1100
1022,-190,0,544,1100
1023,0,0,544,1100
1024,10,0,544,1100
1025,20,0,544,1100
1026,30,0,544,1100
1027,40,0,544,1100
1028,50,0,544,1100
1029,60,0,544,1100
1030,70,0,544,1100
1031,80,0,544,1100
1032,0,-98.5,544,1100
1033,90,0,544,1100
1034,188.5,0,544,1100
1035,0,-81,544,1100
1036,0,-83,544,1100
1037,0,-85,544,1100
1038,0,-87,544,1100
1039,0,-79,544,1100
1040,0,-77,544,1100
1041,188.5,0,544,1100
1042,170,0,544,1100
1043,0,0,537,1100
1044,90,0,537,1100
1045,100,0,537,1100
1046,110,0,537,1100
1047,120,0,537,1100
1048,130,0,537,1100
1049,140,0,537,1100
1050,150,0,537,1100
1051,160,0,537,1100
1052,170,0,537,1100
1053,180,0,537,1100
1054,188.5,0,537,1100
1055,60,0,537,1100
1056,30,0,537,1100
1057,-30,0,537,1100
1058,-60,0,537,1100
1059,-90,0,537,1100
1060,0,0,537,1300
1061,0,0,537,1300
1062,-30,0,537,1300
1063,-60,0,537,1300
1064,-90,0,537,1300
1065,-120,0,537,1300
1066,-150,0,537,1300
1067,-180,0,537,1300
1068,-188.5,0,537,1300
1069,0,0,537,1300
1070,30,0,537,1300
1071,60,0,537,1300
1072,90,0,537,1300
1073,120,0,537,1300
1074,150,0,537,1300
1075,180,0,537,1300
1076,188.5,0,537,1300
1077,0,20,537,1300
1078,0,28.5,537,1300
1079,0,-20,537,1300
1080,0,-40,537,1300
1081,0,-60,537,1300
1082,0,-80,537,1300
1083,0,-98.5,537,1300
1084,-30,-80,537,1300
1085,-60,-80,537,1300
1086,-90,-80,537,1300
1087,-120,-80,537,1300
1088,-150,-80,537,1300
1089,-180,-80,537,1300
1090,-188.5,-80,537,1300
1091,30,-80,537,1300
1092,60,-80,537,1300
1093,90,-80,537,1300
1094,120,-80,537,1300
1095,150,-80,537,1300
1096,180,-80,537,1300
1097,188.5,-80,537,1300
1098,-60,-40,537,1300
1099,-120,-40,537,1300
1100,-180,-40,537,1300
1101,60,-40,537,1300
1102,120,-40,537,1300
1103,180,-40,537,1300
1104,180,29.5,537,1300
1104,180,29.5,537,1300
1105,120,29.5,537,1300
1106,60,29.5,537,1300
1107,-60,29.5,537,1300
1108,-120,29.5,537,1300
1109,-180,29.5,537,1300
1110,-10,0,537,1300
1111,-120,20,537,1300
1112,-120,-20,537,1300
1113,-120,-60,537,1300
1114,120,-60,537,1300
1115,120,-20,537,1300
1116,120,20,537,1300
1117,0,-98.5,537,1300
1118,0,0,537,1300
1119,0,0,1037,1050
1120,0,0,1037,1050
2000,0,78,1037,1050
2001,0,78,1037,1050
2002,0,0,1037,1050
2003,0,8,1037,1050
2004,0,18,1037,1050
2005,0,28,1037,1050
2006,0,38,1037,1050
2007,0,48,1037,1050
2008,0,58,1037,1050
2009,0,68,1037,1050
2010,0,78,1037,1050
2011,0,88,1037,1050
2012,0,98,1037,1050
2013,0,108,1037,1050
2014,0,118,1037,1050
2029,0,78,1037,1050
